0,20000
9,16416
13,19888
40,3544
44,12520
46,7112
49,3360
63,17960
67,19624
90,56
100,9840
104,728
116,14312
157,12904
158,9056
165,16504
166,888
174,12720
175,5704
193,14400
197,18384
202,6104
212,11304
233,13256
257,1616
276,7488
277,19936
296,11960
303,15232
319,3600
330,17760
335,5960
344,7064
353,19744
355,2272
357,12776
377,11984
392,4688
398,9584
403,17384
404,19776
408,144
414,88
418,4960
420,8
447,14216
451,3312
459,15504
481,4224
509,4440
512,2120
514,11496
520,7240
571,2496
572,13760
584,5776
590,10608
612,7800
614,5536
621,9680
625,7224
646,9912
650,1200
651,2288
661,18472
666,13232
677,10928
681,12864
688,12416
700,15680
705,2448
706,3032
721,5024
726,18432
735,18608
736,7960
738,17176
749,13072
755,13080
756,5944
760,11992
766,3928
779,19544
790,16344
793,14680
794,5488
795,10088
797,18120
798,5840
800,392
804,14912
810,544
811,8080
822,18080
833,6944
836,16928
856,10344
861,12736
872,9728
887,6648
896,8848
898,12040
902,5744
918,9656
920,112
924,9536
926,2760
938,12288
949,7192
953,9232
957,4624
958,18096
963,18944
968,3096
976,15488
983,19032
984,4480
993,3176
994,4864
1000,12712
1002,15664
1015,17512
1019,9944
1025,15152
1072,5552
1086,432
1096,7672
1103,2872
1106,11016
1108,5352
1119,14984
1140,14040
1163,13120
1172,1752
1189,11048
1193,1040
1194,18672
1199,688
1214,15104
1216,8280
1223,18416
1257,12120
1269,840
1271,15936
1273,15888
1278,7432
1287,7328
1297,4448
1309,16728
1318,4928
1320,11520
1324,3536
1325,10224
1330,13632
1336,5544
1357,7056
1372,8576
1373,8304
1384,4984
1393,3264
1396,18928
1400,1056
1402,18848
1407,1608
1410,1384
1412,11856
1419,4000
1421,1016
1423,5376
1425,1328
1428,10192
1434,19320
1449,7376
1458,17296
1486,7408
1503,13824
1506,4952
1545,19184
1555,6312
1556,19808
1560,3200
1561,8464
1578,9312
1590,16560
1597,4664
1602,13088
1611,4856
1615,18352
1618,12440
1632,9040
1633,864
1644,13832
1650,1816
1663,200
1665,160
1667,9608
1683,18664
1702,320
1703,1704
1721,19120
1725,19016
1729,17008
1733,6040
1738,6744
1752,1824
1772,5144
1773,19128
1776,4112
1791,15064
1795,7136
1801,5648
1820,7256
1835,10720
1872,1272
1884,7856
1890,880
1895,18880
1896,13472
1907,2648
1918,11448
1925,15768
1949,12392
1951,14264
1971,424
1976,12752
1982,1848
1986,11768
2000,1840
2013,19112
2018,568
2031,7640
2041,10648
2051,19416
2085,752
2088,11424
2095,16680
2114,18776
2127,11096
2131,8232
2133,17536
2134,11744
2142,1568
2143,1648
2151,7168
2153,4744
2157,10560
2162,7088
2166,19728
2192,3880
2195,6216
2199,7464
2204,9968
2207,16376
2217,12336
2227,2264
2236,19880
2238,848
2241,1264
2246,7744
2249,16816
2260,7728
2270,4704
2275,18656
2288,14408
2292,15448
2301,14128
2304,2800
2309,7424
2311,792
2333,16960
2342,18192
2351,14080
2352,448
2357,5104
2359,2400
2365,14536
2370,12128
2382,14240
2388,1776
2400,9520
2401,17080
2402,12880
2408,17392
2409,17336
2410,9616
2414,6592
2417,3408
2420,11288
2421,16080
2426,6416
2459,17040
2465,832
2467,7080
2468,19280
2487,13240
2492,1912
2505,19352
2508,12360
2514,10048
2527,15360
2539,14464
2552,5520
2557,5176
2561,736
2565,18736
2571,17752
2576,8208
2577,14072
2580,8168
2588,1208
2590,9888
2591,15912
2606,7808
2613,17856
2617,856
2626,4152
2641,19672
2642,14384
2665,19864
2667,1832
2669,2168
2680,5624
2692,9824
2693,1136
2726,2216
2728,3456
2737,3648
2739,3656
2748,15792
2779,15704
2788,6008
2791,16952
2802,18536
2810,18456
2827,16360
2830,13504
2838,5928
2858,712
2862,9704
2866,5232
2891,5416
2904,13320
2912,12136
2935,14016
2949,2944
2950,8272
2954,15752
2966,15184
2970,9664
2971,18856
2983,10336
2992,4240
